sub_boro_names,boro_names,median_rent,born_in_new_york_state,car_free_commute,disabled_population,foreign_born_population,housing_units,mean_travel_time_to_work,median_income,population,population_density,poverty_rate,rental_vacancy_rate,severe_crowding_rate,unemployment,labor_force_rate,households_with_under_18years_old,single_person_households,income_diversity_ratio,25+_with_bachelors,25+_no_high_school_diploma,subway,park,crime,new_residential_permits,new_certificates_of_occupancy,public_housing,subsidized_properties,building_age,racial_diversity_index,asian,black,hispanic,white,other_races
Jamaica,Queens,1700.73,0.48,0.56,0.09,0.41,75678.11,48.18,40474.35,229783.78,25.16,0.14,0.03,0.05,0.12,0.66,0.42,0.22,4.27,0.19,0.21,0.41,0.59,5.723290206,303.85,272,2529,53,80.41768246,0.53,0.099957839,0.652846703,0.160504951,0.017582838,0.069107669
Kingsbridge Heights/Mosholu,Bronx,1248.18,0.47,0.78,0.12,0.41,46864.01,42.39,31767.24,128073.52,82.45,0.32,0.03,0.06,0.13,0.63,0.43,0.29,5.21,0.16,0.32,1,0.9,6.740079573,67.21,81.44,233,118,79.42622222,0.52,0.057430366,0.171510489,0.658582978,0.078082066,0.034394102
Lower East Side/Chinatown,Manhattan,2878.79,0.38,0.88,0.08,0.37,77437.97,30.91,37683.53,163278.12,93.78,0.26,0.03,0.04,0.08,0.6,0.17,0.47,7.78,0.39,0.28,0.86,1,3.73598241,260.61,248.12,14928,308,97.84875558,0.72,0.341341689,0.074279494,0.237244312,0.318553306,0.0285812
Middle Village/Ridgewood,Queens,1873.17,0.55,0.59,0.05,0.38,67404.98,39.16,51199.86,175820.01,24.32,0.13,0.04,0.02,0.07,0.63,0.34,0.25,4.29,0.22,0.19,0.4,0.54,1.82043856,100.83,95.39,0,0,84.64927973,0.56,0.070955201,0.011969331,0.339477422,0.561876797,0.01572125
Mid-Island,Staten Island,1488.22,0.68,0.33,0.08,0.26,50775.79,40.52,41173.89,134629.83,5.83,0.1,0.06,0.01,0.06,0.58,0.35,0.22,4.57,0.3,0.12,0.24,0.57,1.412924916,233.59,287.88,1413,15,56.9703494,0.45,0.112312928,0.031313855,0.119705426,0.717214838,0.019452954
Morningside Heights/Hamilton Heights,Manhattan,2286.74,0.4,0.89,0.08,0.34,51269.47,34.71,36390.99,128813.49,77.5,0.27,0.03,0.03,0.09,0.59,0.26,0.38,8.01,0.42,0.22,1,1,4.891417785,44.11,83.06,4020,333,103,0.71,0.067097956,0.234242007,0.395604074,0.262822923,0.04023304
Morrisania/Belmont,Bronx,1430.01,0.54,0.76,0.15,0.29,57724.76,42.68,22057.59,160217.29,38.15,0.42,0.04,0.04,0.16,0.54,0.46,0.29,5.43,0.1,0.39,0.63,1,8.864813146,270.83,353.5,7575,573,83.91374176,0.51,0.007891969,0.312803723,0.618912366,0.045480818,0.014911123
Mott Haven/Hunts Point,Bronx,1438.07,0.56,0.8,0.16,0.27,51864.62,40.77,20778.05,152398.83,31.95,0.43,0.04,0.04,0.15,0.49,0.47,0.29,5.45,0.08,0.45,0.99,1,11.537,176.54,183.57,2838.69,401.28,76.11285845,0.45,0.006432851,0.269951262,0.691875592,0.017246544,0.014493751
North Crown Heights/Prospect Heights,Brooklyn,2241.11,0.5,0.82,0.08,0.31,55780.31,41.25,38077.6,126299.46,57.35,0.25,0.05,0.03,0.1,0.64,0.31,0.35,6.58,0.31,0.18,0.98,0.77,4.91086724,144.78,202.96,3877,380,93.8057041,0.51,0.025442975,0.65590572,0.117324099,0.160497319,0.040829887
North Shore,Staten Island,1667.19,0.66,0.42,0.08,0.24,67167.56,41.68,31898.45,173834.05,12.48,0.18,0.09,0.03,0.07,0.59,0.39,0.26,5.43,0.27,0.16,0.13,0.65,4.011012798,277.94,381.88,3091,61,61.96885865,0.7,0.077739747,0.221837882,0.265199866,0.404692681,0.030529823
Ozone Park/Woodhaven,Queens,1622.99,0.43,0.61,0.07,0.5,48655.17,44.52,48260.89,148517.65,31.85,0.14,0.04,0.03,0.09,0.66,0.41,0.21,4.29,0.25,0.22,0.91,0.47,3.883915928,64.82,75.09,0,7,88.25617615,0.73,0.236859055,0.070112081,0.399832878,0.207136431,0.086059555
Park Slope/Carroll Gardens,Brooklyn,2698.3,0.5,0.86,0.05,0.17,52430.45,37.35,79527.78,114282.76,28.98,0.11,0.02,0.02,0.06,0.76,0.27,0.31,5.02,0.66,0.1,0.91,0.85,2.358918527,124.82,191.97,4981,72,101.9462511,0.55,0.058534359,0.077877383,0.185879803,0.635346467,0.042361988
Pelham Parkway,Bronx,1425.44,0.53,0.58,0.1,0.34,46938.72,40.07,39503.98,126208.5,33.27,0.2,0.03,0.05,0.1,0.61,0.36,0.29,5.34,0.23,0.24,0.86,0.74,4.071287269,74.31,78.56,28196,27,81.26850258,0.69,0.074987125,0.207251717,0.421826975,0.267543227,0.028390957
Queens Village,Queens,1809.11,0.5,0.38,0.07,0.42,64710.6,46.11,57139.98,201410.5,10.34,0.07,0.04,0.02,0.08,0.66,0.38,0.2,3.59,0.29,0.13,0.09,0.38,3.287423282,92.02,86.08,0,1,89.79581395,0.63,0.14310704,0.56412379,0.108521568,0.134638542,0.049609061
Rego Park/Forest Hills,Queens,1868.53,0.42,0.69,0.06,0.5,55684.2,41.82,57082.04,115460.95,41.27,0.1,0.02,0.03,0.06,0.64,0.22,0.4,5.34,0.53,0.08,0.8,0.74,0.803482345,57.69,69.82,0,0,79.3421184,0.6,0.249660904,0.023301561,0.135711935,0.557962094,0.033363507
Riverdale/Kingsbridge,Bronx,1904.06,0.53,0.64,0.08,0.33,45681.09,42.89,48676.55,109565.13,32.17,0.17,0.03,0.04,0.09,0.63,0.3,0.35,5.01,0.39,0.18,0.63,0.94,2.760701056,53.32,70.26,2040,34,77.02775025,0.65,0.048731362,0.126784043,0.435730013,0.363626071,0.02512851
Rockaways,Queens,1362.07,0.64,0.48,0.13,0.26,45122.1,46.62,33829.79,116615.82,10.61,0.2,0.05,0.03,0.09,0.57,0.37,0.31,6.38,0.26,0.22,0.68,0.82,4.892933151,227.55,318.75,3828,81,67.24968153,0.68,0.021068301,0.376080747,0.21427082,0.35776207,0.030818061
Sheepshead Bay/Gravesend,Brooklyn,1625.59,0.49,0.6,0.07,0.46,59780.83,42.8,37096.53,146889.72,34.49,0.16,0.04,0.03,0.07,0.56,0.29,0.29,5.28,0.36,0.15,0.58,0.66,2.004384591,118.08,141.66,2204,23,81.97789342,0.45,0.15377179,0.031727781,0.076826555,0.713310043,0.02436383
Soundview/Parkchester,Bronx,1365.52,0.53,0.68,0.11,0.3,67909.61,44.72,33011.19,181843.11,41.72,0.27,0.02,0.04,0.11,0.59,0.4,0.29,5.49,0.15,0.3,0.7,0.89,5.223508108,148.97,132.13,20311,120,81.93085647,0.58,0.063187503,0.305085589,0.566177235,0.032128304,0.033421369
South Crown Heights,Brooklyn,1745,0.45,0.8,0.06,0.44,43386.9,42.63,39976.01,110540,64.8,0.21,0.03,0.05,0.12,0.65,0.33,0.31,4.75,0.23,0.17,0.9,0.7,5.445549584,94.08,86.71,230,87,98.55037697,0.44,0.013553699,0.720335515,0.08520546,0.149883607,0.031021719
South Ozone Park/Howard Beach,Queens,1612.65,0.48,0.48,0.08,0.45,41683.92,44.22,47715.73,131335.4,21.55,0.11,0.03,0.02,0.09,0.64,0.4,0.17,4.08,0.19,0.23,0.39,0.4,3.883915928,60.24,56.46,0,3,72.96359271,0.81,0.191765335,0.158591694,0.232134875,0.25381519,0.163692906
South Shore,Staten Island,1731.35,0.8,0.26,0.07,0.14,59865.25,44.77,52199.03,163799.01,7.95,0.05,0.05,0.01,0.05,0.61,0.37,0.19,3.86,0.29,0.08,0.28,0.58,0.787949299,343.75,493.63,0,0,45.38533039,0.26,0.040496845,0.009912802,0.08629091,0.852893279,0.010406164
Stuyvesant Town/Turtle Bay,Manhattan,3160.69,0.43,0.87,0.04,0.23,96395.9,26.15,98690.94,144851.39,89.63,0.08,0.04,0.02,0.05,0.74,0.09,0.57,5.21,0.78,0.03,0.95,0.91,2.060867947,330.38,220.14,492,40,95.56824587,0.43,0.13573536,0.030412899,0.073745963,0.73269655,0.027409228
Sunnyside/Woodside,Queens,2543.07,0.34,0.78,0.05,0.57,55240.95,37.62,54870.01,135261.23,22.53,0.14,0.03,0.06,0.06,0.67,0.27,0.31,4.07,0.33,0.21,0.89,0.79,1.766784452,259.05,423.63,0,13,80.22353136,0.69,0.338447423,0.016258949,0.337890228,0.28320944,0.024193961
Sunset Park,Brooklyn,1908.43,0.4,0.79,0.06,0.47,49075.63,43.16,40070.8,148818.9,37.46,0.27,0.03,0.08,0.08,0.65,0.4,0.21,5.35,0.23,0.4,0.94,0.78,3.587182407,98.09,105.77,0,89,98.07278696,0.67,0.289717063,0.027361646,0.426980787,0.231491925,0.024448579
Throgs Neck/Co-op City,Bronx,1396.17,0.67,0.46,0.1,0.19,48308.2,41.88,43959.72,115368.4,12.54,0.11,0.02,0.01,0.09,0.59,0.28,0.36,4.77,0.23,0.18,0.27,0.75,3.021812566,96.57,128.58,2552,31,69.4109873,0.68,0.022853158,0.253893006,0.310721295,0.38208267,0.030449872
University Heights/Fordham,Bronx,1290.45,0.47,0.77,0.15,0.4,47405.65,42.15,24969.89,134918.6,90.74,0.4,0.03,0.07,0.15,0.61,0.47,0.27,5.39,0.11,0.37,0.98,0.99,7.286977335,114.73,147.47,6385,326,92.92695883,0.47,0.010834882,0.292990464,0.662345537,0.013287591,0.020541526
Upper East Side,Manhattan,2642.14,0.49,0.81,0.04,0.22,137398.5,30.43,91732.68,219135.89,110.48,0.06,0.05,0.02,0.04,0.71,0.17,0.51,5.74,0.79,0.03,0.96,0.69,1.187455568,239.72,393.5,1323,54,96.81595122,0.35,0.08242227,0.028114629,0.070921623,0.793960644,0.024580835
Upper West Side,Manhattan,3112.78,0.45,0.86,0.06,0.21,118077.4,30.23,81872.27,199446.88,67.05,0.1,0.04,0.02,0.05,0.71,0.17,0.5,7.54,0.75,0.06,0.99,0.99,2.124726266,313.87,577.55,5953,178,108.6022003,0.48,0.07813723,0.064679787,0.127852706,0.701044223,0.028286054
Washington Heights/Inwood,Manhattan,1814.64,0.37,0.82,0.09,0.49,76857.48,39.72,39997.23,215450.15,73.7,0.25,0.01,0.04,0.13,0.65,0.31,0.33,5.41,0.29,0.31,1,0.98,4.439046423,80.33,34.55,2167,151,84.36437247,0.46,0.02278191,0.081850359,0.708327067,0.166543857,0.020496807
Williamsbridge/Baychester,Bronx,1392.73,0.49,0.57,0.11,0.39,50752.28,44.45,38032.83,142823.64,21.34,0.18,0.05,0.03,0.12,0.64,0.41,0.26,4.97,0.21,0.21,0.75,0.46,6.321706,194.34,261.36,3751,58,68.38668607,0.51,0.021988939,0.663328844,0.208727071,0.076244223,0.029710923
Williamsburg/Greenpoint,Brooklyn,2928.24,0.51,0.83,0.06,0.26,62090.37,33.09,46342.67,148482.5,36.65,0.28,0.03,0.06,0.06,0.65,0.25,0.32,6.62,0.36,0.21,0.92,0.89,3.443434653,579.62,942.39,6896,243,93.2475671,0.54,0.056691767,0.038590576,0.261488045,0.617132198,0.026097414
